resolution,3.000000000e+01,9.000000000e+01,1.500000000e+02,2.100000000e+02,2.700000000e+02,3.300000000e+02,3.900000000e+02,4.500000000e+02
1.000000000e-06,1.223872167e-06,5.274443920e-07,6.832502055e-07,1.148491095e-05,1.399369487e-05,3.301648484e-05,3.389483886e-05,1.673616046e-04
3.000000000e-06,1.664324592e-06,1.234006931e-05,1.188448080e-04,1.276952929e-03,5.098744868e-03,1.454223651e-02,3.255225402e-02,6.240275334e-02
5.000000000e-06,3.709395255e-06,1.604101852e-04,3.227348022e-03,1.941374665e-02,6.235838586e-02,1.502916083e-01,3.064850487e-01,5.560770973e-01
7.000000000e-06,2.433119615e-06,1.087050664e-03,1.949919810e-02,9.106600989e-02,2.681458370e-01,6.207981268e-01,1.237103458e+00,2.224175363e+00
9.000000000e-06,7.046602033e-06,5.095215497e-03,6.249186580e-02,2.684551321e-01,7.654379349e-01,1.746759552e+00,3.452249707e+00,6.174567744e+00
1.100000000e-05,4.921083491e-05,1.468425392e-02,1.502289195e-01,6.220867248e-01,1.747248239e+00,3.952817497e+00,7.786805494e+00,1.386332735e+01
1.300000000e-05,7.653229746e-05,3.240473956e-02,3.061486886e-01,1.235852207e+00,3.455691310e+00,7.792366019e+00,1.524548123e+01,2.720769393e+01
1.500000000e-05,1.740137608e-04,6.242654360e-02,5.569934317e-01,2.224302034e+00,6.172317067e+00,1.386826011e+01,2.706502426e+01,4.838766489e+01
1.700000000e-05,2.800191270e-04,1.083766189e-01,9.350140599e-01,3.695253910e+00,1.021498518e+01,2.299358333e+01,4.493894539e+01,8.000454281e+01
1.900000000e-05,5.615370296e-04,1.750835796e-01,1.472205019e+00,5.806487286e+00,1.604365967e+01,3.595860833e+01,6.993822277e+01,1.245205019e+02
2.100000000e-05,1.077200026e-03,2.682389372e-01,2.225947968e+00,8.711053730e+00,2.398918615e+01,5.379012388e+01,1.051852691e+02,1.865136592e+02
2.300000000e-05,2.025373335e-03,3.932242478e-01,3.215515887e+00,1.257200059e+01,3.461054265e+01,7.741388025e+01,1.514438153e+02,2.684448698e+02
2.500000000e-05,3.271605126e-03,5.578526220e-01,4.522577459e+00,1.755942120e+01,4.834621327e+01,1.079919067e+02,2.115727819e+02,3.746988294e+02
2.700000000e-05,5.103850342e-03,7.669162592e-01,6.177300825e+00,2.397310852e+01,6.592131116e+01,1.474739821e+02,2.878647403e+02,5.109778245e+02
2.900000000e-05,7.489435205e-03,1.029918181e+00,8.226962882e+00,3.187724316e+01,8.779418303e+01,1.961368536e+02,3.832088289e+02,6.803065158e+02
3.100000000e-05,1.059416755e-02,1.353381624e+00,1.079158146e+01,4.158209455e+01,1.145427409e+02,2.565816330e+02,4.994914411e+02,8.876892061e+02
3.300000000e-05,1.458171298e-02,1.750033029e+00,1.387900387e+01,5.371067001e+01,1.471264664e+02,3.290501645e+02,6.427094789e+02,1.139104598e+03
3.500000000e-05,1.943027459e-02,2.224919029e+00,1.757678405e+01,6.792320876e+01,1.864507159e+02,4.163988780e+02,8.145483557e+02,1.444403362e+03
3.700000000e-05,2.534627693e-02,2.790102268e+00,2.201018088e+01,8.508193735e+01,2.332592732e+02,5.199632149e+02,1.016994335e+03,1.797317200e+03
3.900000000e-05,3.242463750e-02,3.454624215e+00,2.713237964e+01,1.048206114e+02,2.881109633e+02,6.434425339e+02,1.251994416e+03,2.227229925e+03
